Segment ID,Roadway Name,From,To,segment_average_sum
202,Main Street,Hoover Avenue,82 Drive,11459
646,ARTHUR KILL ROAD,WINANT PLACE,MANLEY STREET,6812
1416,BLOOMINGDALE ROAD,RAMONA AVENUE,HARGOLD AVENUE,9505
1421,BLOOMINGDALE ROAD,RAMONA AVENUE,SONIA COURT,10024
1883,FOSTER ROAD,RAMONA AVENUE,RATHBUN AVENUE,9587
1884,FOSTER ROAD,RAMONA AVENUE,RATHBUN AVENUE,10486
1885,FOSTER ROAD,RAMONA AVENUE,RATHBUN AVENUE,9817
1886,FOSTER ROAD,RAMONA AVENUE,RATHBUN AVENUE,9487
2147,HUGUENOT AVENUE,RATHBUN AVENUE,RAMONA AVENUE,10929
2153,HUGUENOT AVE,WOODROW RD,STAFFORD AVE,10385
2367,ARTHUR KILL ROAD,MAZZA COURT,KRISSA COURT,13352
2369,ARTHUR KILL ROAD,CARLYLE GREEN,KRISSA COURT,13168
2760,WOODROW ROAD,DELMAR AVENUE,EVERTON AVENUE,4796
2870,WOODROW ROAD,BELFIELD AVENUE,EVERTON AVENUE,7569
2930,AMBOY ROAD,ROSE LANE,COLON STREET,NA
2933,AMBOY ROAD,ROSE LANE,ARBUTUS AVENUE,10415
2984,DRUMGOOLE ROAD WEST,LAMONT AVENUE,HEENAN AVENUE,1979
3017,ARDEN AVENUE,STAFFORD AVENUE,SINCLAIR AVENUE,14220
3115,ARDEN AVENUE,SINCLAIR AVENUE,SHELDON AVENUE,11090
3720,AMBOY ROAD,PRESTON AVENUE,BAMBERGER LANE,13826
4232,DRUMGOOLE ROAD EAST,BARLOW AVENUE,MONTEREY AVENUE,1646
4234,ANNADALE ROAD,LADD AVENUE,BERRY AVENUE,3687
4237,ANNADALE ROAD,WATKINS AVENUE,BERRY AVENUE,3659
4297,BARLOW AVENUE,POMPEY AVENUE,DRUMGOOLE ROAD EAST,724
4340,4th Ave,Senator St,68th St,14371
4832,VICTORY BOULEVARD,DINSMORE STREET,SIGNS ROAD,10319
4853,TRAVIS AVENUE,MULBERRY AVENUE,PARK DRIVE NORTH,12893
4876,VICTORY BOULEVARD,GRAHAM AVENUE,DINSMORE STREET,NA
5520,RICHMOND AVENUE,AKRON STREET,JARDINE AVENUE,NA
6644,RICHMOND HILL ROAD,EDINBORO ROAD,FOREST HILL ROAD,16692
7431,RICHMOND ROAD,NADINE STREET,BISHOP STREET,13974
7453,Richmond Road,Morley Avenue,Rockland Avenue,14393
7564,MORLEY AVENUE,DALTON  AVENUE,EBONY STREET,13147
7886,WILLOWBROOK ROAD,SENECA LOOP,COLLFIELD AVENUE,1775
8070,ROCKLAND AVENUE,MANOR ROAD,BRIELLE AVENUE,15748
8119,BRADLEY AVENUE,HOLDEN BOULEVARD,QUEEN STREET,11082
8152,BRIELLE AVENUE,SUFFOLK AVENUE,LIVINGSTON AVENUE,6879
8288,RICHMOND AVENUE,HILLMAN AVENUE,AKRON STREET,24067
8494,Forest Ave,Eunice Place,Simonson Ave,NA
9661,POST AVENUE,GREENLEAF AVENUE,DRIPROCK STREET,NA
9788,Forest Ave,Raymond Place,Manor Rd,NA
9896,RICHMOND TERRACE,WRIGHT AVENUE,EMERIC COURT,12907
9922,Richmond Ter,Houseman Ave,Wright Ave,NA
10143,CASTLETON AVENUE,RECTOR STREET,JEWETT AVENUE,NA
10164,Richmond Terrace,Rector Street,Jewett Avenue,14080
10188,CASTLETON AVENUE,CLOVE ROAD,RECTOR STREET,11881
10196,Richmond Ter,Clove Rd,Rector St,NA
10335,AMBOY ROAD,DALE AVENUE,BISHOP STREET,14885
11273,MANOR RD,LINCOLN ST,CROAK AVE,NA
11362,TODT HILL RD,TILLMAN ST,LINCOLN ST,NA
11449,OCEAN TERRACE,TIBER PLACE,DENOBLE LANE,NA
11599,OCEAN TERRACE,BUTTERWORTH AVENUE,COVERLY AVENUE,6802
12198,TARGEE ST,NAPLES ST,VENICE ST,NA
12215,TARGEE STREET,HAY STREET,NAPLES STREET,13099
12370,MANOR RD,SCHMIDTS LA,WESTWOOD AVE,NA
12806,Milford Drive,Ocean Terrace,Renwick Avenue,7545
12809,LITTLE CLOVE ROAD,NORTHERN BOULEVARD,BRISTOL AVENUE,NA
12829,VICTORY BOULEVARD,CYPRESS AVENUE,MARX STREET,NA
12832,VICTORY BOULEVARD,MARX STREET,RENWICK AVENUE,13948
12945,LITTLE CLOVE RD,CAYUGA AVENUE,RENWICK AVENUE,6310
12946,OCEAN TERRACE,WITTEMAN PLACE,MILFORD DRIVE,5541
13103,Little Clove Road,Cayuga Avenue,Seneca Avenue,4990
13120,NARROWS ROAD NORTH,CLOVE ROAD,LITTLE CLOVE ROAD,13562
13133,CLOVE RD,HOWARD AVENUE,LITTLE CLOVE ROAD,31342
13277,Richmond Rd,Baltic Ave,Roosevelt St,NA
14422,HYLAN BOULEVARD,NARROWS ROAD SOUTH,OLGA PLACE,9231
14602,HYLAN BOULEVARD,FINGERBOARD ROAD,RODERICK AVENUE,6946
14723,NARROWS ROAD SOUTH,HASTINGS STREET,GARSON AVENUE,NA
15047,CLOVE RD,NECKAR AVE,WESER AVE,NA
15540,BEACH STREET,UNION PLACE,VAN DUZER STREET,NA
15542,VAN DUZER STREET,BEACH STREET,WRIGHT STREET,NA
15741,BAY ST,CLINTON ST,BALTIC ST,NA
17319,86 STREET,7 AVENUE,14 AVENUE,22927
17414,7 Avenue,68 Street,67 Street,4227
17457,Shore Rd,68 St,Bay Ridge Ave,2425
17642,3 Avenue,Senator Street,68 Street,9916
17652,4 AVENUE,68 STREET,SENATOR STREET,17452
17737,65 STREET,5 AVENUE,6 AVENUE,5288
18562,Shore Pkwy,19 Ave,20 Ave,1279
18635,CROPSEY AVE,BAY 22nd ST,BAY 23rd ST,10873
18641,BATH AVE,BAY 22nd ST,BAY 23rd ST,8537
18653,BENSON AVE,19th AVE,BAY 20th ST,2022
18655,Benson Avenue,19 Avenue,Bay 22 Street,1781
18846,SHORE PKWY,BAY 46th ST,27th AVE,425
18852,SHORE PARKWAY,25 AVENUE,BAY 41 STREET,2718
19163,Stillwell Avenue,28 Avenue,Avenue W,7723
19174,Stillwell Ave,Bay 46 St,Bay 47 St,NA
19202,86th ST,W 11th ST,W 12th ST,8619
19244,KINGS HWY,W 11th ST,W 12th ST,8728
19248,KINGS HIGHWAY,WEST 11 STREET,QUENTIN ROAD,9027
19259,Neptune Avenue,West 12 Street,Stillwell Avenue,18085
19313,AVE U,W 10th ST,W 11th ST,6540
19437,BAY RIDGE PKWY,11TH AVE,12TH AVE,17741
19461,8 AVENUE,67 STREET,68 STREET,6413
19463,8 AVENUE,66 STREET,67 STREET,7074
19550,BAY RIDGE AVENUE,11 AVENUE,12 AVENUE,NA
19555,FT HAMILTON PARKWAY,67 STREET,68 STREET,16542
19559,Ft. Hamilton Parkway,66 Street,67 Street,15999
19566,65 STREET,10 AVENUE,11 AVENUE,26454
19641,13 AVENUE,72 STREET,73 STREET,6832
19653,13 Avenue,71 Street,72 Street,7518
19761,14 AVENUE,72 STREET,73 STREET,6721
19762,14 Avenue,71 Street,72 Street,7408
19805,60 STREET,11 AVENUE,12 AVENUE,9184
19813,86th ST,19th AVE,20th AVE,12202
19870,NEW UTRECHT AVENUE,72 STREET,16 AVENUE,7672
19874,NEW UTRECHT AVENUE,71 STREET,72 STREET,NA
19978,BAY RIDGE PARKWAY,18 AVENUE,19 AVENUE,15829
19984,Bay Ridge Parkway,19 Avenue,20 Avenue,15455
19991,18 AVENUE,72 STREET,73 STREET,9854
20138,18 Avenue,71 Street,72 Street,11050
20147,BAY RIDGE AVENUE,19 AVENUE,20 AVENUE,NA
20149,BAY RIDGE AVENUE,18 AVENUE,19 AVENUE,2043
20157,65 STREET,18 AVENUE,19 AVENUE,24508
20278,60 STREET,18 AVENUE,19 AVENUE,11603
20335,AVE P,W 10th ST,W 11th ST,9767
20337,Avenue P,West 10 Street,West 9 Street,8846
20340,BAY PKWY,72nd ST,73rd ST,19065
20395,60 Street,19 Avenue,20 Avenue,11724
20561,7 AVENUE,65 STREET,66 STREET,11464
21024,3 AVENUE,29 STREET,30 STREET,12542
21028,3 AVENUE,29 STREET,28 STREET,17458
21033,3 AVENUE,28 STREET,29 STREET,10958
21110,5 AVENUE,24 STREET,36 STREET,10506
21139,NEW UTRECHT AVENUE,52 STREET,53 STREET,9838
21142,51 STREET,13 AVENUE,New Utrecht Avenue,2862
21148,50 STREET,13 AVENUE,New Utrecht Avenue,2792
21164,49 STREET,12 AVENUE,13 AVENUE,2187
21327,39 STREET,12 AVENUE,13 AVENUE,6182
21331,37 STREET,12 AVENUE,13 AVENUE,3736
21399,FT HAMILTON PARKWAY,36 STREET,CHESTER AVENUE,24256
21490,MC DONALD AVENUE,ALBEMARLE ROAD,CHURCH AVENUE,8389
22023,COLUMBIA STREET,DE GRAW STREET,KANE STREET,9686
22025,3 AVENUE,26 STREET,27 STREET,20966
22026,3 AVENUE,26 STREET,27 STREET,18533
22033,3 AVENUE,25 STREET,26 STREET,20759
22036,3 AVENUE,25 STREET,26 STREET,18358
22219,CLINTON STREET,SACKETT STREET,UNION STREET,4734
22221,Hicks Street,Kane Street,De Graw Street,1414
22227,HICKS STREET,KANE STREET,DE GRAW STREET,10313
22345,9 Street,9 Street Bridge,2 Avenue,10881
22379,3 STREET,SMITH STREET,HOYT STREET,4295
22409,COURT STREET,DE GRAW STREET,SACKETT STREET,9205
22534,UNION ST,HOYT ST,BOND ST,4644
22541,SMITH ST,DOUGLASS,DEGRAW ST,6864
22806,3 AVENUE,BALTIC STREET,BUTLER STREET,11163
22921,3 AVENUE,DEAN STREET,PACIFIC STREET,9568
22924,ATLANTIC AVENUE,3 AVENUE,4 AVENUE,45087
22995,State Street,Bridge Street,Battery Place,15793
23057,BROADWAY,BEAVER STREET,MORRIS STREET,9430
23061,TRINITY PL,EDGER ST,RECTOR PL,5945
23207,LIBERTY STREET,BROADWAY,LIBERTY PLACE,6197
23344,FULTON STREET,DUTCH STREET,NASSAU STREET,3661
23396,CHURCH STREET,DUANE STREET,READE STREET,18896
23407,BROADWAY,DUANE STREET,THOMAS STREET,12584
23408,CHAMBERS STREET,BROADWAY,CENTRE STREET,16458
23560,Centre Street,Duane Street,Reade Street,7466
23561,Layafette Street,Duane Street,Reade Street,8227
23580,CENTRE STREET,WORTH STREET,PEARL STREET,7374
23752,St. James Place,Madison Street,James Street,13783
23756,MADISON STREET,CATHERINE STREET,ST JAMES PLACE,7940
23936,CATHERINE STREET,MONROE STREET,CATHERINE SLIP,3841
23942,MARKET STREET,CHERRY STREET,SOUTH STREET,3954
24768,SURF AVE,JONES WALK,W 10th ST,8712
24988,NEPTUNE AVE,SHEEPSHEAD BAY RD,W 12th ST,10682
25210,MC DONALD AVENUE,AVENUE S,AVENUE T,NA
25484,Ocean Parkway,Avenue S,Avenue T,37225
25654,CONEY ISLAND AVE,AVE S,AVE T,24039
26001,AVE U,E 16th ST,E 17th ST,10059
26054,Emmons Avenue,Sheepshead Bay Road,East 16 Street,23785
26073,BAY COURT,SHORE PARKWAY,EAST 16 STREET,754
26075,Shore Pkwy South,E 16 St,Bay Court,7917
26096,AVE Z,E 15th ST,E 16th ST,6988
26098,AVENUE Z,EAST 16 STREET,EAST 17 STREET,10652
26197,Shore Blvd,Falmouth St,Girard St,8249
26330,SHORE BOULEVARD,IRWIN STREET,HASTINGS STREET,8797
26557,Mc Donald Avenue,Elmwood Avenue,38 Street,12429
26570,MC DONALD AVENUE,LAWRENCE AVENUE,PARKVILLE AVENUE,8834
26809,Ocean Parkway,Lawrence Avenue,Parkville Avenue,2080
26818,Ocean Parkway,Lawrence Avenue,Parkville Avenue,50480
26825,Ocean Parkway,Parkville Avenue,Newkirk Avenue,1639
26932,CONEY ISLAND AVENUE,FOSTER AVENUE,NEWKIRK AVENUE,23028
26962,AVE P,CONEY ISLAND AVE,E 12th ST,18142
26964,Avenue P,East 12 Street,East 13 Street,19857
27017,AVENUE J,EAST 12 STREET,EAST 13 STREET,12552
27048,Ave H,E 14 St,E 15 St,807
27106,KINGS HWY,E 15th ST,E 16th ST,13070
27120,Avenue N,East 15 Street,East 16 Street,11263
27121,AVE N,E 15th ST,E 16th ST,10963
27139,AVE M,E 15th ST,ELM AVE,10938
27147,AVENUE M,ELM AVENUE,EAST 16 STREET,11231
27344,OCEAN AVE,AVE R,AVE S,22006
27454,BEDFORD AVENUE,AVENUE R,AVENUE S,11916
27462,BEDFORD AVE,AVE R,QUENTIN RD,13642
27567,NOSTRAND AVE,AVE P,QUENTIN RD,13508
27577,NOSTRAND AVENUE,AVENUE P,STUART STREET,15242
28015,CONEY ISLAND AVE,CATON AVE,CHURCH AVE,18214
28021,CATON AVE,E 12th ST,E 13th ST,12920
28067,DITMAS AVENUE,EAST 13 STREET,EAST 14 STREET,8182
28069,CORTELYOU ROAD,EAST 11 STREET,EAST 12 STREET,8950
28103,CHURCH AVE,E 13th ST,E 14th ST,8753
28234,CATON AVE,E 18th ST,ST PAUL'S PL,14305
28262,OCEAN AVE,CATON AVE,CROOKE AVE,15383
28288,OCEAN AVENUE,FARRAGUT ROAD,GLENWOOD ROAD,19234
28370,FLATBUSH AVE,CATON AVE,CLARKSON AVE,21707
28403,FARRAGUT ROAD,BEDFORD AVENUE,EAST 24 STREET,5819
28514,Bedford Avenue,Farragut Road,Glenwood Road,7581
28612,ROGERS AVE,LENOX RD,LINDEN BLVD,14930
28620,ROGERS AVE,CLARKSON AVE,LENOX RD,15509
28637,FLATBUSH AVENUE,EAST 28 STREET,EAST 29 STREET,29041
28732,NOSTRAND AVE,LENOX RD,LINDEN BLVD,13553
28736,NEW YORK AVENUE,LENOX ROAD,LINDEN BOULEVARD,11492
28749,NEW YORK AVENUE,CLARKSON AVENUE,LENOX ROAD,10816
28775,NEW YORK AVENUE,FARRAGUT ROAD,GLENWOOD ROAD,5174
28845,CHURCH AVE,E 37th ST,BROOKLYN AVE,13256
28855,LINDEN BLVD,BROOKLYN AVE,E 37th ST,18912
28860,Clarkson Ave,E 37 St,E 38 St,10637
28923,5 AVENUE,DE GRAW STREET,DOUGLASS STREET,11229
28934,6 AVENUE,ST JOHN'S PLACE,STERLING PLACE,7547
28973,FLATBUSH AVENUE,4 AVENUE,ROCKWELL PLACE,49159
28976,ASHLAND PLACE,4 AVENUE,LAFAYETTE AVENUE,4891
28997,PROSPECT PARK WEST,2 STREET,3 STREET,11705
29014,8 AVENUE,CARROLL STREET,GARFIELD PLACE,9636
29025,UNION ST,7 AVE,8 AVE,9749
29030,7 AVENUE,LINCOLN PLACE,ST JOHN'S PLACE,6652
29114,Prospect Park West,Montgomery Place,Garfield Place,12626
29181,Fulton Street,Clermont Avenue,Vanderbilt Avenue,14011
29246,VANDERBILT AVE,GATES AVE,FULTON ST,NA
29256,WASHINGTON AVE,GATES AVE,FULTON ST,NA
29470,CLASSON AVE,GATES AVE,PUTNAM AVE,6462
29473,Gates Avenue,Classon Avenue,Franklin Avenue,3850
29479,PUTNAM AVE,CLAVER PL,FRANKLIN AVE,3536
29487,QUINCY ST,CLASSON AVE,FRANKLIN AVE,883
29548,FRANKLIN AVE,DEAN STREET,BERGEN STREET,8993
29555,FULTON AVENUE,CLAVER PLACE,FRANKLIN AVENUE,NA
29560,FRANKLIN AV,JEFFERSON AV,HANCOCK ST,8416
29662,BEDFORD AVE,PROSPECT PL,ST MARK'S AVE,11033
29668,ROGERS AVE,LINCOLN PL,ST JOHN'S PL,14513
29688,Bedford Avenue,Hancock Street,Halsey Street,23838
29696,BEDFORD AVE,HANCOCK ST,JEFFERSON AVE,16762
29756,NEW YORK AVENUE,PROSPECT PLACE,PARK PLACE,7352
29760,Nostrand Avenue,Bergen Street,St Marks Avenue,12766
29764,NEW YORK AVENUE,ST MARKS AVENUE,PROSPECT PLACE,7212
29766,NEW YORK AVE,BERGEN ST,ST MARCUS AVE,6794
29785,Nostrand Avenue,Hancock Street,Halsey Street,12716
29843,BROOKLYN AVE,ST JOHN'S PL,LINCOLN PL,8213
29869,MARCY AVENUE,HALSEY STREET,MACON STREET,6882
29880,Tompkins Avenue,Halsey Street,Macon Street,7717
29887,MARCY AVENUE,HANCOCK STREET,HALSEY STREET,6833
29893,TOMPKINS AVE,HANCOCK ST,HALSEY ST,7286
29896,QUINCY ST,TOMPKINS AVE,THROOP AVE,2033
29902,Gates Avenue,Tompkins Avenue,Throop Avenue,4701
30310,Park Avenue,Washington Avenue,Hall Street,7282
30312,Park Avenue,Washington Avenue,Hall Street,12529
30344,Flushing Avenue,Ryerson Street,Grand Avenue,12159
30494,Park Avenue,Grand Avenue,Steuben Street,9002
30500,Park Avenue,Steuben Street,Emerson Place,5670
30633,LAFAYETTE AVE,CLASSON AVE,FRANKLIN AVE,8184
30645,MYRTLE AVE,CLASSON AVE,TAAFFE AVE,11139
30786,Bedford Avenue,North 1 Street,Grand Street,8232
30790,BEDFORD AVE,METROPOLITAN AVE,NORTH 1st ST,7001
30797,Driggs Avenue,Fillmore Place,North 1 Street,8179
30800,DRIGGS AVENUE,METROPOLITAN AVENUE,FILLMORE PLACE,6170
30993,Marcy Avenue,Metropolitan Avenue,Hope Street,15810
31072,MONTROSE AVE,UNION AVE,LORIME ST,5724
31118,UNION AVENUE,AINSLIE STREET,DEVOE STREET,10481
31123,Grand Street,Union Avenue,Lorimer Street,16843
31127,Rodney Street,Ainslie Street,Meeker Avenue,12729
31137,Meeker Avenue,North 8 Street,Union Avenue,13056
31143,Meeker Avenue,Union Avenue,Skillman Avenue,13157
31145,MEEKER AVENUE,BROOKLYN QUEENS EP ET 32 B WB,JACKSON STREET,4435
31148,METROPOLITAN AVE,UNION AVE,LORIMER ST,16668
31248,MESEROLE STREET,LEONARD  ST,LORIMER ST,3387
31294,Lafayette Avenue,Tompkins Avenue,Throop Avenue,4928
31308,MYRTLE AVE,THROOP AVE,TOMPKINS AVE,10513
31320,PARK AVENUE,TOMPKINS AVENUE,DELMONICO PLACE,6096
31332,THROOP AVENUE,BARTLETT STREET,WHIPPLE STREET,3153
31347,THROOP AVENUE,GERRY STREET,BARTLETT STREET,2562
31350,Broadway,Leonard Street,Gerry Street,18285
31405,GRAHAM AVENUE,B-N POWERS STREET,AINSLIE STREET,9370
31425,GRAHAM AVENUE,AINSLIE STREET,DEVOE STREET,7890
31540,Greenwich Street,Jay Street,Harrison Street,6358
31548,Hudson Street,Duane Street,Duane Street,2667
31550,HUDSON STREET,DUANE STREET,THOMAS STREET,4058
31559,WEST BROADWAY,DUANE STREET,THOMAS STREET,18005
31764,Church Street,Thomas Street,Duane Street,19111
31783,Broadway,Catherine Lane,Worth Street,18325
31890,HUDSON STREET,CHARLTON STREET,VANDAM STREET,13624
31907,Varick Street,Spring Street,Vandam Street,29974
31909,VARICK STREET,CHARLTON STREET,VAN DAM STREET,32167
31914,HUDSON STREET,CHARLTON STREET,KING STREET,15011
32031,HUDSON STREET,GANSEVOORT STREET,HORATIO STREET,12418
32033,HUDSON STREET,GANSEVOORT STREET,WEST 13 STREET,11728
32066,CORTLANDT ALLEY,WALKER STREET,WHITE STREET,146
32072,WALKER STREET,LAFAYETTE STREET,CORTLANDT ALLEY,7166
32087,Walker Street,Broadway,Lafayette Street,7628
32095,CANAL STREET,BROADWAY,CORTLANDT ALLEY,42685
32126,AVENUE OF THE AMERICAS,VANDAM STREET,SPRING STREET,25423
32137,WEST BROADWAY,PRINCE STREET,SPRING STREET,11359
32274,8 AVENUE,HORATIO STREET,WEST 4 STREET,17125
32283,8 Avenue,Greenwich Avenue,West 14 Street,20278
32327,GRAND STREET,BROADWAY,CROSBY STREET,8242
32329,CANAL STREET,LAFAYETTE STREET,CORTLANDT ALLEY,41294
32333,Grand Street,Crosby Street,Lafayette Street,8993
32361,BROOME STREET,BROADWAY,CROSBY STREET,14788
32364,BROADWAY,PRINCE STREET,SPRING STREET,21090
32366,SPRING STREET,BROADWAY,CROSBY STREET,9283
32443,7 AVENUE,WEST 12 STREET,WEST 13 STREET,30757
32449,AVENUE OF AMERICAS,WEST 11 STREET,WEST 12 STREET,35408
32585,E 4TH ST,BROADWAY,LAFAYETTE ST,4738
32618,5 AVENUE,EAST 11 STREET,EAST 12 STREET,18774
32621,5 AVENUE,EAST 12 STREET,EAST 13 STREET,18657
32651,FORSYTH STREET,GRAND STREET,BROOME STREET,3026
32698,BOWERY,EAST HOUSTON STREET,PRINCE STREET,17864
32706,CHRYSTIE STREET,2 AVENUE,DELANCEY STREET,14248
32742,LAFAYETTE STREET,EAST 4 STREET,ASTOR PLACE,16727
32775,4 AVENUE,EAST 9 STREET,EAST 10 STREET,17436
32780,4 Avenue,East 11 Street,East 12 Street,18030
32787,BROADWAY,EAST 11 STREET,EAST 12 STREET,23001
32807,EAST 14 STREET,4 AVENUE,BROADWAY,21251
32932,3 AVENUE,EAST 12 STREET,EAST 13 STREET,32309
33012,5 AVENUE,BROADWAY,EAST 26 STREET,26230
33018,5 AVENUE,WEST 25 STREET,EAST 26 STREET,23234
33064,CLINTON STREET,DELANCEY STREET,RIVINGTON STREET,14031
33115,2 AVENUE,EAST 12 STREET,EAST 13 STREET,27921
33119,1 AVENUE,EAST 11 STREET,EAST 12 STREET,24928
33121,1 AVENUE,EAST 12 STREET,EAST 13 STREET,23740
33184,LEXINGTON AVENUE,EAST 26 STREET,EAST 27 STREET,18701
33186,LEXINGTON AVENUE,EAST 27 STREET,EAST 28 STREET,20317
33196,PITT STREET,DELANCEY STREET,STANTON STREET,3987
33255,AVENUE B,EAST 11 STREET,EAST 12 STREET,8169
33305,3 AVENUE,EAST 27 STREET,EAST 28 STREET,34297
33411,11 AVENUE,WEST 27 STREET,WEST 28 STREET,13143
33413,11 AVENUE,WEST 28 STREET,WEST 29 STREET,20417
33471,10 AVENUE,WEST 27 STREET,WEST 28 STREET,26102
33547,9 AVENUE,WEST 25 STREET,WEST 26 STREET,30439
33612,11 AVENUE,WEST 43 STREET,WEST 44 STREET,21561
33615,11 Avenue,West 44 Street,West 45 Street,26258
33645,8 AVENUE,WEST 26 STREET,WEST 27 STREET,23340
33652,7 AVENUE,WEST 27 STREET,WEST 28 STREET,27306
33758,10 AVENUE,WEST 45 STREET,WEST 46 STREET,37421
33760,11 AVENUE,WEST 45 STREET,WEST 46 STREET,24649
33796,AVENUE OF THE AMERICAS,WEST 26 STREET,WEST 27 STREET,36482
33798,6 Avenue,West 27 Street,West 28 Street,37481
33844,10 AVENUE,WEST 46 STREET,WEST 47 STREET,46957
33848,9 AVENUE,WEST 45 STREET,WEST 46 STREET,35422
33850,9 Avenue,West 46 Street,West 47 Street,33345
33879,BROADWAY,WEST 27 STREET,WEST 28 STREET,4623
33886,5 AVENUE,EAST 27 STREET,EAST 28 STREET,27509
33891,WEST 29 STREET,5 AVENUE,BROADWAY,8531
33959,8 AVENUE,WEST 45 STREET,WEST 46 STREET,30509
33968,8 Avenue,West 47 Street,West 48 Street,28607
34000,MADISON AVENUE,EAST 27 STREET,EAST 28 STREET,14514
34013,WEST 30 STREET,5 AVENUE,BROADWAY,6935
34027,WEST 34 STREET,5 AVENUE,AVE OF THE AMER,23347
34073,7 AVENUE,BROADWAY,WEST 46 STREET,26858
34079,BROADWAY,47 STREET,48 STREET,4834
34124,COLUMBUS AVENUE,WEST 61 STREET,WEST 62 STREET,24288
34170,WEST 39 STREET,5 AVENUE,AVE OF THE AMER,11889
34178,West 42 Street,5 Avenue,6 Avenue,24239
34188,AVENUE OF THE AMERICAS,WEST 45 STREET,WEST 46 STREET,33206
34206,West 48 Street,Rockefeller Plaza,6 Avenue,10354
34243,COLUMBUS CIRCLE EB,CENTRAL PARK SOUTH,BROADWAY,28560
34257,CENTRAL PARK WEST,WEST 61 STREET,COLUMBUS CIRCLE,14128
34340,AMSTERDAM AVENUE,WEST 61 STREET,WEST 62 STREET,24517
34402,Riverside Drive,West 73 Street,West 74 Street,7403
34408,West End Avenue,West 73 Street,West 74 Street,15274
34512,AMSTERDAM AVENUE,WEST 73 STREET,WEST 74 STREET,24683
34607,AVENUE C,EAST 11 STREET,EAST 12 STREET,11087
34654,1 AVENUE,EAST 26 STREET,EAST 27 STREET,27989
34656,1 AVENUE,EAST 27 STREET,EAST 28 STREET,31871
34659,2 AVENUE,EAST 27 STREET,EAST 28 STREET,60688
34669,FDR Drive,Stanton Street,East Houston Street,56978
34858,KENT AVENUE,NORTH 1 STREET,GRAND STREET,6146
35040,Dupont Street,Franklin Street,Manhattan Avenue,581
35041,COMMERCIAL ST,CLAY ST,BOX ST,1010
35042,CLAY STREET,COMMERCIAL STREET,MANHATTAN AVENUE,814
35151,GREENPOINT AVENUE,FRANKLIN STREET,MANHATTAN AVENUE,7818
35178,ASH ST,COMMERCIAL ST,MC GUINNESS,881
35252,BEDFORD AVE,LORIMER ST,NORTH 12th ST,5238
35257,DRIGGS AVE,LORIMER ST,NORTH 12th ST,5809
35672,GREENPOINT AVE,N. HENRY ST,PROVOST ST,19190
35806,5 AVENUE,EAST 46 STREET,EAST 47 STREET,32720
35813,Madison Avenue,East 45 Street,East 46 Street,21608
35832,West 49 Street,Rockefeller Plaza,6 Avenue,9034
35955,Lexington Avenue,East 46 Street,East 47 Street,18680
35960,3 AVENUE,EAST 46 STREET,EAST 47 STREET,33664
35996,West 55 Street,5 Avenue,6 Avenue,9374
36009,West 56 Street,5 Avenue,6 Avenue,8561
36012,West 57 Street,5 Avenue,6 Avenue,18858
36023,5 AVENUE,WEST 59 STREET,WEST 60 STREET,28611
36026,5 Avenue,East 60 Street,East 61 Street,22808
36036,5 AVENUE,EAST 61 STREET,EAST 62 STREET,15404
36041,65 Street Transverse,East Drive,Center Drive,27080
36112,2 AVENUE,EAST 46 STREET,EAST 47 STREET,49378
36162,MADISON AVENUE,EAST 59 STREET,EAST 60 STREET,25166
