Segment ID,Roadway Name,From,To,segment_average_sum
36164,Madison Avenue,East 60 Street,East 61 Street,22336
36169,MADISON AVENUE,EAST 61 STREET,EAST 62 STREET,23264
36265,Lexington Avenue,East 59 Street,60 Street,30226
36272,3 AVENUE,EAST 59 STREET,EAST 60 STREET,26447
36274,3 Avenue,East 60 Street,61 Street,23911
36277,LEXINGTON AVENUE,60 STREET,EAST 61 STREET,19866
36401,1 Avenue,59 Street,East 60 Street,24712
36403,1 AVENUE,EAST 60 STREET,EAST 61 STREET,18131
36517,York Avenue,60 Street,East 61 Street,24451
36574,3 AVENUE,EAST 73 STREET,EAST 74 STREET,31638
36579,2 AVENUE,EAST 73 STREET,EAST 74 STREET,25490
36671,2 AVENUE,EAST 74 STREET,EAST 75 STREET,23959
36674,1 AVENUE,EAST 73 STREET,EAST 74 STREET,30799
36699,11 STREET,47 AVENUE,47 ROAD,7640
36705,VERNON BOULEVARD,46 ROAD,47 AVENUE,10423
36788,YORK AVENUE,EAST 73 STREET,EAST 74 STREET,23271
36803,YORK AVENUE,EAST 74 STREET,EAST 75 STREET,19051
36837,21 STREET,45 ROAD,46 AVENUE,13716
37085,Columbus Avenue,West 73 Street,West 74 Street,21447
37189,CENTRAL PARK WEST,WEST 74 STREET,WEST 75 STREET,21831
37277,WEST END AVENUE,WEST 97 STREET,WEST 98 STREET,12414
37287,Terrace Drive,East Drive,West Drive,1177
37362,AMSTERDAM AVE,WEST 99 ST,WEST 100 ST,18704
37374,5 AVENUE,EAST 73 STREET,EAST 74 STREET,16118
37379,Madison Avenue,East 73 Street,East 74 Street,22910
37438,MADISON AVENUE,74 STREET,75 STREET,22247
37448,Lexington Avenue,East 74 Street,East 73 Street,18917
37449,LEXINGTON AVENUE,74 STREET,75 STREET,19608
37480,86 Street Transverse,5 Avenue,East Drive,11092
37708,97 Street Transverse,5 Avenue,East Drive,15952
37910,LEXINGTON AVENUE,99 STREET,EAST 100 STREET,13093
37916,3 AVE,EAST 99 ST,EAST 100 ST,19617
38035,1 AVE,EAST 99 ST,EAST 97 ST,18991
38055,2 AVE,EAST 99 ST,EAST 100 ST,21184
38361,AMSTERDAM AVE,WEST 118 ST,WEST 119 ST,15323
38369,MORNINGSIDE DRIVE,120 STREET,121 STREET,2875
38489,MANHATTAN AVENUE,WEST 119 STREET,WEST 120 STREET,4490
38499,Morningside Drive,West 121 Street,Amsterdam Avenue,2138
38613,St. Nicholas Avenue,123 Street,122 Street,7996
38619,8 AVE,WEST 123 ST,WEST 124 ST,13063
38636,West 125 Street,Frederick Douglass Boulevard,Manhattan Avenue,18844
38837,Mt Morris Park West,West 121 Street,West 122 Street,7571
38839,MT MORRIS PARK WEST,123 STREET,122 STREET,8821
38868,WEST 135 STREET,8 AVENUE,EDGECOMBE AVENUE,6217
38915,St. Nicholas Avenue,West 147 Street,West 146 Street,13259
38916,West 145 Street,St. Nicholas Avenue,Edgecomb Avenue,15388
39011,AMSTERDAM AVE,WEST 147 ST,WEST 148 ST,15260
39756,ORIENTAL BOULEVARD,NORFOLK STREET,OXFORD STREET,3703
40873,Flatbush Avenue,Avenue M,Baughman Place,28149
40902,Flatlands Avenue,Troy Avenue,Avenue L,8313
40944,Ave H,Troy Ave,E 45 St,10855
40998,AVENUE N,BOB STONEHILL WAY,EAST 48 STREET,9916
41000,AVENUE M,EAST 45 STREET,EAST 46 STREET,2965
41034,AVENUE J,EAST 46 STREET,SCHENECTADY AVENUE,5312
41040,Avenue J,Schenectady Avenue,East 48 Street,6413
41107,Utica Avenue,Avenue O,Fillmore Avenue,14336
41144,Utica Avenue,Avenue K,Avenue L,15461
41312,AVENUE U,EAST 56 STREET,PEARSON STREET,20991
41367,Ralph Avenue,Avenue K,Avenue L,20580
41546,AVENUE U,EAST 66 STREET,EAST 67 STREET,8688
41552,VETERANS AVENUE,EAST 66 STREET,EAST 67 STREET,3712
41557,Veterans Avenue,East 67 Street,Avenue T,3980
41663,Veterans Avenue,East 71 Street,Avenue U,947
41667,AVENUE U,EAST 71 STREET,EAST 72 STREET,4019
41720,AVENUE D,BROOKLYN AVENUE,EAST 37 STREET,9286
41736,CLARENDON ROAD,BROOKLYN AVENUE,EAST 37 STREET,13396
41758,Snyder Ave,E 37 St,E 38 St,14031
41759,Snyder Ave,E 37 St,E 38 St,12969
41760,Snyder Ave,E 37 St,E 38 St,13254
41761,Snyder Ave,E 37 St,E 38 St,3785
41771,Linden Boulevard,East 37 Street,East 38 Street,18182
41788,Winthrop St,Kingston Ave,Albany Ave,9502
41813,ALBANY AVENUE,FARRAGUT ROAD,GLENWOOD ROAD,7272
41864,ALBANY AVE,LENOX RD,LINDEN BLVD,8433
42098,Utica Avenue,Lenox Road,Linden Boulevard,20386
42128,Kings Highway,Utica Avenue,Glenwood Road,7807
42135,Utica Avenue,Farragut Road,Glenwood Road,18810
42359,LENOX ROAD,REMSEN AVENUE,EAST 57 STREET,5500
42362,Remsen Ave,Lenox Rd,Lenox Rd,23475
42364,REMSEN AVENUE,LENOX ROAD,EAST 58 STREET,24677
42387,GLENWOOD ROAD,EAST 59 STREET,RALPH AVENUE,10419
42389,Ralph Avenue,Glenwood Road,Flatlands Avenue,20767
42542,FLATLANDS AVENUE,EAST 78 STREET,EAST 79 STREET,26645
42626,Church Avenue,East 94 Street,East 95 Street,13154
42645,Rockaway Parkway,Church Avenue,Avenue A,21854
42955,ALBANY AVE,MIDWOOD ST,RUTLAND RD,10204
42968,Empire Boulevard,Albany Avenue,Troy Avenue,12880
42985,KINGSTON AVE,ST JOHN'S PL,LINCOLN PL,4598
43037,THROOP AVENUE,HALSEY STREET,MACON STREET,5505
43071,Eastern Parkway,Albany Avenue,Troy Avenue,40246
43074,ALBANY AVE,LINCOLN PL,ST JOHN'S PL,7760
43120,MARCUS GARVEY BLVD,HANCOCK ST,HALSEY ST,8891
43126,MARCUS GARVEY BOULEVARD,HALSEY STREET,MACON STREET,9472
43194,Lewis Avenue,Fulton Street,Chauncey Street,2622
43210,Lewis Avenue,Fulton Street,Chauncey Street,6499
43211,Lewis Avenue,Bainbridge Street,Chauncey Street,8905
43218,LEWIS AVE,HALSEY ST,MACON AVE,8108
43312,Stuyvesant Avenue,Macon Street,Mac Donough Street,5542
43314,STUYVESANT AVENUE,HALSEY STREET,MACON STREET,4196
43320,Malcolm X Boulevard,Halsey Street,Macon Street,12461
43322,MALCOLM X BLVD,HANCOCK ST,HALSEY ST,8864
43527,MAC DOUGAL STREET,FULTON STREET,RALPH AVENUE,642
43545,Ralph Avenue,Mac Donough Street,Decatur Street,14100
43547,RALPH AVE,MACON ST,MAC DONOUGH ST,7304
43660,HOWARD AVENUE,BAINBRIDGE STREET,CHAUNCEY STREET,4576
43934,ROCKAWAY AVE,MARION ST,SUMPTER ST,8311
43940,ROCKAWAY AVENUE,MAC DOUGAL STREET,SUMPTER STREET,7571
44195,HUMBOLDT STREET,GRAND STREET,POWERS STREET,3936
44476,MORGAN AVE,SCHOLES ST,STAGG ST,16308
44809,Grand Street,Gardner Avenue,Grand Street Bridge,10259
44882,DEKALB AVENUE,KNICKERBOCKER AVENUE,IRVING AVENUE,5294
44932,FLUSHING AVENUE,CYPRESS AVENUE,SENECA AVENUE,NA
45014,GREENE AVENUE,KNICKERBOCKER AVENUE,IRVING AVENUE,1390
45028,Dekalb Avenue,Irving Avenue,Wyckoff Avenue,9036
45054,CYPRESS AVENUE,TROUTMAN STREET,STARR STREET,NA
45069,FLUSHING AVENUE,SENECA AVENUE,ONDERDONK AVENUE,17868
45137,GREENE AVENUE,IRVING AVENUE,WYCKOFF AVENUE,1410
45322,FLUSHING AVENUE,53 STREET,54 STREET,NA
45405,MYRTLE AVENUE,ST NICHOLAS AVENUE,MADISON STREET,10232
45409,MYRTLE AVENUE,MADISON STREET,PUTNAM AVENUE,NA
45497,METROPOLITAN AVENUE,55 STREET,56 STREET,NA
46347,Avenue L,East 89 Street,Remsen Avenue,5475
46349,REMSEN AVENUE,AVENUE L,AVENUE M,10719
46514,Rockaway Parkway,Avenue J,Avenue K,16099
46587,NEW LOTS AVENUE,SNEDIKER AVENUE,HINSDALE STREET,10952
46589,NEW LOTS AVENUE,HINSDALE STREET,WILLIAMS AVENUE,7009
46664,STANLEY AVENUE,WILLIAMS AVENUE,ANNA COURT,4211
46666,STANLEY AVENUE,LOUSIANA AVENUE,ANNA COURT,6101
47311,LIBERTY AVENUE,WILLIAMS AVENUE,HINSDALE STREET,5945
47315,LIBERTY AVENUE,WILLIAMS AVENUE,ALABAMA AVENUE,5327
47359,Bushwick Avenue,Conway Street,Highland Boulevard,45831
47393,SUTTER AVENUE,HINSDALE STREET,WILLIAMS AVENUE,6417
47413,SUTTER AVENUE,ALABAMA AVENUE,GEORGIA AVENUE,5129
47443,FULTON STREET,GEORGIA AVENUE,SHEFFIELD AVENUE,6955
47518,Pennsylvania Avenue,New Lots Avenue,Hegeman Avenue,30810
47800,SCHENCK AVENUE,MC CLANCY PLACE,HEGEMAN AVENUE,2925
48370,HEGEMAN AVENUE,FOUNTAIN AVENUE,LOGAN STREET,2709
48625,FOREST AVENUE,GREENE AVENUE,BLEECKER STREET,NA
48672,COOPER AVENUE,WYCKOFF AVENUE,ST FELIX AVENUE,NA
48919,FRESH POND ROAD,GATES AVENUE,PALMETTO STREET,NA
49090,VERMONT PLACE,HIGHLAND BOULEVARD,JACKIE ROBINSON PKWY,10258
49354,METROPOLITAN AVENUE,PLEASANTVILLE STREET,73RD PLACE,21306
49444,METROPOLITAN AVENUE,73 PLACE,74 STREET,15856
49490,MYRTLE AVENUE,73 PLACE,74 STREET,11765
49505,73 PLACE,78 AVENUE,COOPER AVENUE,7197
49507,73 PLACE,COOPER AVENUE,CENTRAL AVENUE,4108
49572,JAMAICA AVENUE,AUTUMN AVENUE,EUCLID AVENUE,11754
49583,MYRTLE AVENUE,74 STREET,75 STREET,NA
49594,COOPER AVENUE,76 STREET,78 STREET,20744
49616,COOPER AVENUE,79TH STREET,78TH STREET,923
49635,80 STREET,67 DRIVE,68 AVENUE,NA
50551,CROSS BAY BOULEVARD,163 AVENUE,164 AVENUE,23919
50660,SUTTER AVENUE,HEMLOCK STREET,AUTUMN AVENUE,8208
50664,SUTTER AVENUE,AUTUMN AVENUE,LINCOLN AVENUE,6680
50676,South Conduit Avenue,Hemlock Avenue,Autumn Avenue,23461
50683,North Conduit Avenue,Glenmore Avenue,Lincoln Avenue,25102
50705,LIBERTY AVENUE,AUTUMN AVENUE,LINCOLN AVENUE,8085
50816,North Conduit Avenue,Grant Avenue,Elbert Lane,26741
50820,Belmont Avenue,Grant Avenue,South Conduit Avenue,3112
50822,South Conduit Avenue,Grant Avenue,Belmont Avenue,27674
51223,ROCKAWAY BOULEVARD,CULLODEN PLACE,84 STREET,10239
51334,ROCKAWAY BOULEVARD,84 STREET,97 AVENUE,10912
51667,WOODHAVEN BOULEVARD,97 AVENUE,101 AVENUE,32122
51933,PITKIN AVE,95th ST,96th ST,3652
51945,LINDEN BOULEVARD,97 STREET,HAWTREE ST,5046
51982,LIBERTY AVE,98th ST,99th ST,7880
51994,ROCKAWAY BOULEVARD,100 STREET,101 STREET,17111
51998,ROCKAWAY BOULEVARD,101 STREET,101 STREET,20340
52092,ECKFORD AVENUE,TAHOE STREET,RALEIGH STREET,2888
52124,LINDEN BOULEVARD,HAWTREE STREET,CENTREVILLE STREET,11090
52186,101 AVENUE,107 STREET,107 STREET,5332
52188,101 AVENUE,107 STREET,108 STREET,8072
52297,80 STREET,68 AVENUE,68 ROAD,18528
52378,COOPER AVENUE,83 STREET,84 STREET,NA
52592,WOODHAVEN BOULEVARD,75 AVENUE,76 AVENUE,NA
52610,Metropolitan Avenue,Trotting Course Lane,Selfridge Street,17141
52743,METROPOLITAN AVENUE,SELFRIDGE STREET,69 AVENUE,17498
52914,ATLANTIC AVENUE,97 STREET,98 STREET,23599
52931,JAMAICA AVENUE,97 STREET,98 STREET,7687
52940,JAMAICA AVE,101st ST,102nd ST,9503
53396,METROPOLITAN AVENUE,PARK LANE SOUTH,116 STREET,NA
54575,SOUTH CONDUIT AVE,COHANCY ST,NASSAU EXPY,41152
55804,111 AVE,142 STREET,143 STREET,4049
55805,BRINKERHOFF AVE,111 AVE,143 STREET,1083
56117,KEW GARDENS ROAD,80 ROAD,UNION TURNPIKE,6904
56138,LEFFERTS BOULEVARD,101 AVENUE,103 AVENUE,7562
56768,MAIN STREET,82 DRIVE,84 ROAD,NA
56804,VAN WYCK EXPRESSWAY,102 AVENUE,W 232nd ST,68272
56878,ARCHER AVE,143 STREET,144 PLACE,6746
56882,JAMAICA AVENUE,139 STREET,143 STREET,13824
56884,Jamaica Avenue,143 Street,144 Street,12535
56910,HILLSIDE AVENUE,144 STREET,146 STREET,27007
56912,HILLSIDE AVENUE,146 STREET,SUTPHIN BOULEVARD,28026
56954,150 STREET,84 ROAD,84 DRIVE,NA
56994,LIBERTY AVE,BRISBIN STREET,LLOYD ROAD,22606
57005,101 AVENUE,CRESSKILL PLACE,BRISBIN STREET,6500
57009,101 AVENUE,BRISBIN STREET,ALLENDALE STREET,5403
57133,PARSONS BOULEVARD,84 AVENUE,84 ROAD,NA
57167,LAKEWOOD AVE,INWOOD STREET,LIVERPOOL STREET,4654
57188,WALTHAM STREET,101 AVE,LIBERTY AVE,2994
57189,101 AVE,146 STREET,WALTHAM STREET,3329
57192,LIBERTY AVE,101 AVE,WALTHAM STREET,19583
57194,Liberty Avenue,146 Street,Sutphin Boulevard,24373
57322,164 STREET,84 AVENUE,84 ROAD,NA
58320,150th ST,148th ST,CENTER CARGO RD,9276
58598,147 AVENUE,182 STREET,182 STREET,8965
58623,NASSAU EXPRESSWAY,148 STREET,VAN WYCK EXPRESSWAY,41335
58732,LINDEN BOULEVARD,146 STREET,147 STREET,13369
58806,ROCKAWAY BOULEVARD,144 STREET,145 STREET,13809
59856,BELT PARKWAY,181 STREET,182 STREET,37062
60010,SUTPHIN BOULEVARD,ARLINGTON TERRACE,109 AVENUE,14173
60012,SUTPHIN BOULEVARD,109 AVENUE,FERNDALE AVENUE,13943
60160,110 AVENUE,155 STREET,156 STREET,5661
60164,BRINKERHOFF AVENUE,156 STREET,157 STREET,4624
60470,GUY R BREWER BOULEVARD,CLAUDE AVENUE,MATHIAS AVENUE,12215
60799,MERRICK BOULEVARD,111 ROAD,SAYRES AVENUE,20792
61511,JAMAICA AVENUE,195 STREET,195 PLACE,15325
61917,SEAGIRT BLVD,BEACH 7TH ST,BEACH 9TH ST,16862
62016,CEDAR LAWN AVENUE,VIRGINIA STREET,READS LANE,2426
62100,BEACH CHANNEL DRIVE,BIRDSALL AVENUE,NAMEOKE AVENUE,20293
62171,CENTRAL AVE,SAGE ST,VIRGINIA ST,11309
62193,EMPIRE AVENUE,SAGE STREET,BALSAM COURT,NA
62211,Central Avenue,Virginia Street,Doughty Boulevard,12908
62435,ROCKAWAY BOULEVARD,BROOKVILLE BOULEVARD,BROOKVILLE BOULEVARD,51455
62764,BELT PARKWAY,181 STREET,182 STREET,24075
62767,SO CONDUIT AVE,182ND ST,181ST ST,NA
62854,MERRICK BOULEVARD,BELKNAP STREET,180 STREET,NA
63023,120 AVENUE,191 STREET,192 STREET,NA
64255,FARMERS BOULEVARD,TIOGA DRIVE,SUFFOLK DRIVE,13212
64258,FARMERS BOULEVARD,115 ROAD,115 DRIVE,15943
64444,MURDOCK AVENUE,198 STREET,199 STREET,8480
64470,HOLLIS AVENUE,201 STREET,200 STREET,8458
64472,HOLLIS AVENUE,201 STREET,202 STREET,NA
64564,LINDEN BLVD,198 STREET,199 STREET,11543
64574,LINDEN BOULEVARD,200 STREET,201 STREET,NA
64584,MURDOCK AVE NUE,199 STREET,200 STREET,NA
64881,FRANCIS LEWIS BOULEVARD,115 ROAD,115 DRIVE,NA
65044,SPRINGFIELD BOULEVARD,115 ROAD,116 AVENUE,NA
65188,115 AVENUE,217 STREET,218 STREET,NA
65484,225 STREET,114 AVENUE,114 ROAD,NA
65633,Cross Island Parkway,114 Terrace,115 Avenue,12454
65634,CROSS ISLAND PKWY SR,107 AVENUE,115 AVENUE,149883
65642,CROSS ISLAND PKWY SR SOUTH,MURDOCK AVENUE,113 DRIVE,5022
65745,HUNGRY HARBOR RD,148th ST,262nd PL,11023
65882,KINGSLAND AVENUE,DRIGGS AVENUE,NASSAU AVENUE,4798
65914,JJ Byrne Memorial Bridge,Kingsland Avenue,Newtown Creek,42789
66455,56th RD,43rd ST,48th ST,10240
66637,48 STREET,56 ROAD,55 AVENUE,6572
66648,48 STREET,54 ROAD,55 AVENUE,9114
66880,58 STREET,55 DRIVE,56 DRIVE,9225
66883,MAURICE AVE,55th DR,56th DR,7127
66886,58 STREET,55 AVENUE,55 DRIVE,6025
67062,JACKSON AVENUE,COURT SQUARE,44 DRIVE,11853
67234,QUEENS BOULEVARD,AMTRAK RAILROAD,LONG ISLAND RAILROAD,NA
67437,21 STREET,34 AVENUE,35 AVENUE,27549
67502,Honeywell Street,Northern Boulevard,Skillman Avenue,8579
67556,CRESCENT STREET,35 AVENUE,36 AVENUE,10677
67560,CRESCENT STREET,34 AVENUE,35 AVENUE,10312
67650,31 STREET,35 AVENUE,36 AVENUE,13477
67665,31 STREET,34 AVENUE,35 AVENUE,11538
67724,39th ST,NORTHERN BLVD,SKILLMAN AVE,14116
67754,STEINWAY STREET,35 AVENUE,36 AVENUE,14662
67865,NORTHERN BOULEVARD,43 STREET,35 AVENUE,32166
67868,Northern Boulevard,35 Avenue,45 Street,37940
67871,STEINWAY STREET,34 AVENUE,35 AVENUE,12633
67957,48 STREET,BARNETT AVENUE,39 AVENUE,6288
67971,48th ST,37th AVE,NORTHERN BLVD,8090
68073,39 AVENUE,51 STREET,52 STREET,6865
68193,57 STREET,WOODSIDE AVENUE,ROOSEVELT AVENUE,1551
68199,WOODSIDE AVE,BARNETT AVE,39 AVENUE,7072
68200,Woodside Avenue,38 Avenue,Barnett Avenue,8985
68340,FDR Drive,99 Street,100 Street,56556
69057,Madison Avenue,East 121 Street,East 122 Street,15981
69072,MADISON AVENUE,123 STREET,122 STREET,14477
69154,8 AVE,WEST 147 ST,WEST 148 ST,14896
69171,Lexington Avenue,East 121 Street,East 122 Street,14687
69185,3 AVE,EAST 123 ST,EAST 124 ST,16961
69276,2 AVE,EAST 124 ST,EAST 123 ST,23582
69588,East 135 Street,Canal Street West,Canal Place,4951
69589,EAST 135 STREET,CANAL STREET WEST,PARK AVENUE,3347
69637,EAST 138 STREET,GRAND CONCOURSE,PARK AVENUE,34844
69639,EAST 138 STREET,GRAND CONCOURSE,PARK AVENUE,NA
69696,RIVER AVENUE,EAST 150 STREET,EAST 151 STREET,7367
69698,GERARD AVENUE,EAST 150 STREET,EAST 151 STREET,3895
69780,EAST 138 STREET,CANAL PLACE,RIDER AVENUE,17759
69836,East 149 Street,Morris Avenue,Park Avenue,20420
69976,MORRIS AVENUE,EAST 153 STREET,EAST 156 STREET,11996
69979,CONCOURSE VILLAGE WEST,EAST 156 STREET,EAST 156 STREET,4134
70010,EAST 134 STREET,ST ANNS AVENUE,ST ANN'S PLACE,2794
70015,134 Street,St. Anns Place,Bruckner Boulevard,7087
70087,COURTLANDT AVENUE,EAST 154 STREET,EAST 155 STREET,3094
70155,EAST 138 STREET,ST ANNS AVENUE,CYPRESS AVENUE,12358
70220,Melrose Avenue,East 153 Street,East 154 Street,10076
70223,MELROSE AVENUE,EAST 154 STREET,EAST 155 STREET,12023
70352,ST MARY'S STREET,BEEKMAN AVENUE,CYPRESS AVENUE,1636
70360,East 149 Street,Eagle Avenue,Cauldwell Avenue,15950
70362,EAST 149 STREET,CAULDWELL AVENUE,TRINITY AVENUE,13884
70364,BROOK AVENUE,EAST 152 STREET,EAST 153 STREET,4342
70374,WESTCHESTER AVENUE,EAGLE AVENUE,CAULDWELL AVENUE,9347
70376,3 Avenue,East 154 Street,East 155 Street,14177
70379,3 AVENUE,EAST 155 STREET,EAST 156 STREET,13270
70380,BROOK AVENUE,EAST 153 STREET,BERGEN AVENUE,4659
70394,ST ANNS AVENUE,EAST 156 STREET,EAST 157 STREET,5494
70395,EAST 156 STREET,ST ANNS PLACE,EAGLE AVENUE,7927
70586,EAST 161 STREET,EAGLE AVENUE,CAULDWELL AVENUE,NA
70607,EAST 163 STREET,EAGLE AVENUE,CAULDWELL AVENUE,14725
70612,Donnellon Square,149 Street,150 Street,3423
70616,ST NICHOLAS PLACE,150 STREET,151 STREET,6200
70734,FT WASHINGTON AVENUE,WEST 172 STREET,WEST 173 STREET,8334
70873,AMSTERDAM AVE,WEST 164 ST,WEST 165 ST,19274
70892,AUDUBON AVE,WEST 166 ST,WEST 167 ST,3433
70896,West 167 Street,Audubon Avenue,St. Nicholas Avenue,958
70931,AUDUBON AVE,WEST 172 ST,WEST 173 ST,4969
70939,BROADWAY,WEST 174 ST,WEST 175 ST,16145
70947,Wadsworth Avenue,West 175 Street,West 176 Street,3575
70953,St. Nicholas Avenue,West 175 Street,West 176 Street,12700
70957,ST NICHOLAS AVENUE,176 STREET,177 STREET,14265
71072,AMSTERDAM AVE,WEST 171 ST,WEST 172 ST,16922
71091,West 178 Street,Wadsworth Avenue,St. Nicholas Avenue,10603
71120,West 179 Street,St. Nicholas Avenue,Wadsworth Avenue,6833
71122,West 180 Street,Wadsworth Avenue,St. Nicholas Avenue,3782
71124,West 181 Street,St. Nicholas Avenue,Wadsworth Avenue,12406
71482,UNDERCLIFF AVENUE,SEDGWICK AVENUE,WEST 171 STREET,8349
71493,Sedgwick Avenue,West 167 Street,Cross Bronx Expressway,8871
71591,SHERIDAN AVENUE,EAST 156 STREET,EAST 161 STREET,5828
71645,OGDEN AVENUE,WEST 170 STREET,WEST 171 STREET,5878
71669,OGDEN AVENUE,WEST 171 STREET,DR MARTIN LUTHER KING JR BOULEVARD,7174
71729,SHERIDANA AVENUE,EAST 161 STREET,EAST 162 STREET,2195
71757,East 165 Street,Carroll Place,Sheridan Avenue,16631
71759,EAST 165 STREET,SHERIDAN AVENUE,SHERIDAN AVENUE,10272
71856,MACOMBS ROAD,CROMWELL AVENUE,GOBLE PLACE,8813
71976,EAST 167 STREET,SHERMAN AVENUE,GRANT AVENUE,12211
71980,EAST 169 STREET,SHERIDAN AVENUE,GRANT AVENUE,5951
72026,JEROME AVENUE,EAST 172 STREET,EAST MT EDEN AVENUE,15840
72149,EAST 170 STREET,SHERIDAN AVENUE,GRANT AVENUE,5966
72317,Morris Avenue,Mt. Eden Parkway,East 173 Street,8194
72320,MORRIS AVENUE,EAST 173 STREET,EAST 174 STREET,8383
72331,E 174 ST,MORRIS AVENUE,WEEKS AVENUE,3978
72335,CROSS BX EXPWY SER RD,MORRIS AVENUE,WEEKS AVENUE,2495
72435,WADSWORTH AVENUE,WEST 187 STREET,WEST 188 STREET,5299
72477,WADSWORTH AVENUE,WEST 188 STREET,WEST 189 STREET,4204
72596,DYCKMAN STREET,VERMILYEA AVENUE,SHERMAN AVENUE,14074
72608,BROADWAY,ACADEMY STREET,DYCKMAN STREET,24220
72860,CEDAR AVENUE,WEST 179 STREET,WEST FORDHAM ROAD,5400
72881,University Heights Bridge Approach,Harlem River Shoreline,9 Avenue,40676
72976,CEDAR AVENUE,WEST 182 STREET,WEST FORDHAM ROAD,NA
73096,DR M L KING JR BOULEVARD,WEST 183 STREET,WEST FORDHAM ROAD,NA
73101,WEST FORDHAM ROAD,LANDING ROAD,HAMPDEN PLACE,NA
73220,HENRY HUDSON PKWY,INDEPENDENCE AVE,W 232nd ST,58463
73294,HENRY HUDSON PKWY,W 235th ST,W 236th ST,59087
73426,JOHNSON AVENUE,HENRY HUDSON PARKWAY,238 STREET,656
73427,JOHNSON AVENUE,WEST 238 STREET,HENRY HUDSON PARKWAY,2218
73436,Riverdale Avenue,West 238 Street,West 239 Street,13081
73451,HENRY HUDSON PARKWAY E,JOHNSON AVENUE,WEST 239 STREET,4731
73466,WEST 239 STREET,RIVERDALE AVENUE,HENRY HUDSON PARKWAY,8781
73666,Laurel Hill Boulevard,58 Lane,50 Avenue,3497
73668,LAUREL HILL BOULEVARD,59 STREET,59 PLACE,7962
73836,MAURICE AVENUE,53 AVENUE,TYLER AVENUE,8990
73845,65 PLACE,62 STREET,53 AVENUE,7128
73961,GRAND AVENUE,HAMILTON PLACE,55 DRIVE,20867
74183,GRAND AVENUE,69 LANE,71 STREET,11931
74189,69 STREET,53 ROAD,53 DRIVE,12647
74191,69 Street,53 Road,53 Road,13226
74299,69 STREET,60 ROAD,60 DRIVE,NA
74304,ELIOT AVENUE,69 PLACE,69 STREET,11799
74309,ELIOT AVENUE,69 PLACE,69 LANE,NA
74501,CALDWELL AVENUE,72 STREET,74 STREET,4001
74503,73 STREET,QUEENS MIDTOWN EXPRESSWAY SB,58 AVENUE,67
74505,58 AVENUE,73 PLACE,74 STREET,473
75313,51 AVENUE,90 STREET,92 STREET,2681
75335,Corona Avenue,92 Street,93 Street,12656
75343,58 STREET,41 DRIVE,43 AVENUE,7106
75406,Broadway,55 Street,56 Street,18613
75414,BROADWAY,56 STREET,57 STREET,18018
76302,23 AVENUE,83 STREET,85 STREET,15922
76391,32nd AVE,85th ST,86th ST,5970
76502,32 AVENUE,88 STREET,89 STREET,NA
76510,31 AVENUE,87 STREET,88 STREET,NA
76533,ASTORIA BOULEVARD,25 AVENUE,91 STREET,30839
76605,ROOSEVELT AVENUE,92 STREET,ASKE STREET,NA
76607,ELMHURST AVENUE,92 STREET,93 STREET,NA
76617,NORTHERN BOULEVARD,90 STREET,91 STREET,NA
76623,34 AVENUE,91 STREET,92 STREET,NA
