LONG,the_geom,Date_Imple,LAT
-73.9633496153,POINT (-73.96334961527361 40.79608997359387),04/01/1990 12:00:00 AM +0000,40.7960899736
-73.9628857806,POINT (-73.96288578055824 40.796720248848196),04/01/1990 12:00:00 AM +0000,40.7967202488
-73.8955129568,POINT (-73.8955129567713 40.84017709765643),09/09/2013 12:00:00 AM +0000,40.8401770977
-73.8966323846,POINT (-73.89663238458259 40.83848257432714),09/09/2013 12:00:00 AM +0000,40.8384825743
-73.8765446271,POINT (-73.87654462710819 40.87660093881003),07/31/2013 12:00:00 AM +0000,40.8766009388
-73.8787684698,POINT (-73.87876846977768 40.876277463645636),07/31/2013 12:00:00 AM +0000,40.8762774636
-73.8756408068,POINT (-73.8756408068453 40.87874151832828),07/31/2013 12:00:00 AM +0000,40.8787415183
-73.8785878906,POINT (-73.87858789060934 40.87833272809412),07/31/2013 12:00:00 AM +0000,40.8783327281
-74.007098963,POINT (-74.00709896304565 40.67589301659849),11/14/2013 12:00:00 AM +0000,40.6758930166
-73.996063136,POINT (-73.99606313604107 40.73015528659228),11/26/2013 12:00:00 AM +0000,40.7301552866
-73.826360487,POINT (-73.82636048703718 40.58357950868956),05/01/2015 12:00:00 AM +0000,40.5835795087
-73.9572639231,POINT (-73.95726392312726 40.806923078747865),10/09/2014 12:00:00 AM +0000,40.8069230787
-73.9225102746,POINT (-73.9225102746358 40.78030432868862),03/01/2015 12:00:00 AM +0000,40.7803043287
-73.9919398518,POINT (-73.9919398517576 40.68731408800945),11/06/2015 12:00:00 AM +0000,40.687314088
-73.8078553374,POINT (-73.80785533743268 40.733850483415644),05/30/2015 12:00:00 AM +0000,40.7338504834
-73.9468064683,POINT (-73.946806468293 40.837295802849624),07/14/2015 12:00:00 AM +0000,40.8372958028
-73.9400126621,POINT (-73.94001266213755 40.71582297372266),03/30/2015 12:00:00 AM +0000,40.7158229737
-73.9390173334,POINT (-73.93901733337957 40.71606471060839),03/30/2015 12:00:00 AM +0000,40.7160647106
-73.9378788358,POINT (-73.93787883582625 40.71636218886243),03/30/2015 12:00:00 AM +0000,40.7163621889
-73.9402318185,POINT (-73.94023181847302 40.71710875985121),03/30/2015 12:00:00 AM +0000,40.7171087599
-74.0020263108,POINT (-74.00202631076408 40.6744589623239),09/28/2015 12:00:00 AM +0000,40.6744589623
-73.9386452872,POINT (-73.9386452871627 40.85467237246096),09/02/2015 12:00:00 AM +0000,40.8546723725
-73.9410837015,POINT (-73.9410837015403 40.829081336776056),10/20/2015 12:00:00 AM +0000,40.8290813368
-73.9415446929,POINT (-73.9415446928741 40.82844702755959),10/20/2015 12:00:00 AM +0000,40.8284470276
-73.9420013239,POINT (-73.94200132389727 40.82782584436625),10/20/2015 12:00:00 AM +0000,40.8278258444
-73.9397643337,POINT (-73.93976433366987 40.835144904919055),02/03/2015 12:00:00 AM +0000,40.8351449049
-73.8968511267,POINT (-73.89685112674937 40.82487378277021),10/16/2015 12:00:00 AM +0000,40.8248737828
-73.9366942222,POINT (-73.93669422215677 40.837195133568486),07/15/2015 12:00:00 AM +0000,40.8371951336
-73.9377513179,POINT (-73.93775131792036 40.83488940946766),07/15/2015 12:00:00 AM +0000,40.8348894095
-73.9403727817,POINT (-73.9403727817396 40.83141491375969),07/15/2015 12:00:00 AM +0000,40.8314149138
-73.9174475122,POINT (-73.91744751218707 40.844134779051764),10/20/2015 12:00:00 AM +0000,40.8441347791
-73.9940355759,POINT (-73.9940355759072 40.7312761630964),06/10/2015 12:00:00 AM +0000,40.7312761631
-73.9932491112,POINT (-73.99324911123232 40.730945073890325),06/10/2015 12:00:00 AM +0000,40.7309450739
-73.9979866965,POINT (-73.99798669646114 40.73294600252184),06/10/2015 12:00:00 AM +0000,40.7329460025
-74.0030982518,POINT (-74.00309825178256 40.62791595006421),11/25/2015 12:00:00 AM +0000,40.6279159501
-73.9078494603,POINT (-73.90784946031206 40.6659013464286),12/09/2015 12:00:00 AM +0000,40.6659013464
-73.9085325276,POINT (-73.90853252759733 40.89064533299778),10/20/1999 12:00:00 AM +0000,40.890645333
-73.8463847792,POINT (-73.84638477919184 40.7218802808128),01/11/2016 12:00:00 AM +0000,40.7218802808
-73.8475341552,POINT (-73.84753415524362 40.72221653657252),01/11/2016 12:00:00 AM +0000,40.7222165366
-74.0083155241,POINT (-74.00831552405022 40.73619421309811),01/08/2016 12:00:00 AM +0000,40.7361942131
-74.0089256022,POINT (-74.00892560216353 40.73115508740366),12/28/2015 12:00:00 AM +0000,40.7311550874
-73.9522275198,POINT (-73.95222751975558 40.7172687540385),04/29/2016 12:00:00 AM +0000,40.717268754
-73.8332647919,POINT (-73.83326479191447 40.88316822117367),05/27/2016 12:00:00 AM +0000,40.8831682212
-73.8329795007,POINT (-73.83297950065827 40.88239228857599),05/27/2016 12:00:00 AM +0000,40.8823922886
-74.0046602089,POINT (-74.00466020888953 40.72490826044894),06/07/2016 12:00:00 AM +0000,40.7249082604
-73.8304014668,POINT (-73.83040146676336 40.77033934260687),06/09/2016 12:00:00 AM +0000,40.7703393426
-73.9577105088,POINT (-73.95771050880553 40.806296101284296),08/01/2016 12:00:00 AM +0000,40.8062961013
-73.9763057237,POINT (-73.97630572373505 40.79403173446212),08/01/2016 12:00:00 AM +0000,40.7940317345
-73.9762332196,POINT (-73.97623321960353 40.79482729326565),08/01/2016 12:00:00 AM +0000,40.7948272933
-73.9828940195,POINT (-73.98289401946346 40.70056671383538),07/01/2016 12:00:00 AM +0000,40.7005667138
-73.8252293212,POINT (-73.8252293211816 40.79572569754961),08/19/2016 12:00:00 AM +0000,40.7957256975
-73.9497531515,POINT (-73.94975315146617 40.632581023182695),08/19/2016 12:00:00 AM +0000,40.6325810232
-73.9508378827,POINT (-73.95083788269176 40.63235397587072),08/19/2016 12:00:00 AM +0000,40.6323539759
-73.915866464,POINT (-73.91586646404161 40.84479395647801),06/30/2016 12:00:00 AM +0000,40.8447939565
-73.9624805758,POINT (-73.96248057581217 40.63593312848627),09/13/2016 12:00:00 AM +0000,40.6359331285
-73.9606808539,POINT (-73.96068085394265 40.63680195121438),09/13/2016 12:00:00 AM +0000,40.6368019512
-73.9633486521,POINT (-73.96334865212518 40.635518098089925),09/13/2016 12:00:00 AM +0000,40.6355180981
-73.9232314309,POINT (-73.92323143092335 40.838159295569675),08/11/2016 12:00:00 AM +0000,40.8381592956
-73.9648904988,POINT (-73.96489049884576 40.80843515148707),08/01/2016 12:00:00 AM +0000,40.8084351515
-73.8311466394,POINT (-73.8311466394009 40.89050042298375),09/27/2016 12:00:00 AM +0000,40.890500423
-73.8854877428,POINT (-73.88548774276012 40.745792257690674),10/26/2016 12:00:00 AM +0000,40.7457922577
-73.9328647887,POINT (-73.93286478866753 40.801455819426685),10/06/2016 12:00:00 AM +0000,40.8014558194
-73.913284368,POINT (-73.91328436803782 40.859618621455354),08/27/2016 12:00:00 AM +0000,40.8596186215
-73.8973688339,POINT (-73.89736883392582 40.66267295901385),12/16/2016 12:00:00 AM +0000,40.662672959
-73.8969755388,POINT (-73.89697553876123 40.66113528099566),12/16/2016 12:00:00 AM +0000,40.661135281
-73.8977467986,POINT (-73.89774679864479 40.664156527732786),12/16/2016 12:00:00 AM +0000,40.6641565277
-73.899262033,POINT (-73.89926203296936 40.670073653583074),12/16/2016 12:00:00 AM +0000,40.6700736536
-73.899911179,POINT (-73.89991117897542 40.672608244817255),12/16/2016 12:00:00 AM +0000,40.6726082448
-73.9545122834,POINT (-73.95451228336655 40.810686630771414),12/19/2016 12:00:00 AM +0000,40.8106866308
-73.9013364488,POINT (-73.90133644879266 40.86927247868548),12/28/2016 12:00:00 AM +0000,40.8692724787
-73.902126087,POINT (-73.90212608701809 40.86940890888606),12/28/2016 12:00:00 AM +0000,40.8694089089
-73.9734622195,POINT (-73.97346221945035 40.797887892376465),12/21/2016 12:00:00 AM +0000,40.7978878924
-73.9638059743,POINT (-73.96380597431568 40.795463255543154),01/14/2017 12:00:00 AM +0000,40.7954632555
-73.8092914699,POINT (-73.80929146986324 40.76985474760146),04/26/2017 12:00:00 AM +0000,40.7698547476
-73.8074247133,POINT (-73.80742471329272 40.769706974639206),04/26/2017 12:00:00 AM +0000,40.7697069746
-73.8055645588,POINT (-73.8055645588325 40.76956040184105),04/26/2017 12:00:00 AM +0000,40.7695604018
-73.8621623729,POINT (-73.8621623728785 40.73343746800773),05/02/2017 12:00:00 AM +0000,40.733437468
-73.982752311,POINT (-73.98275231102608 40.733922951292165),05/19/2017 12:00:00 AM +0000,40.7339229513
-73.9836459688,POINT (-73.98364596880614 40.73269872294301),05/19/2017 12:00:00 AM +0000,40.7326987229
-73.9843465202,POINT (-73.9843465201782 40.734597794586065),05/19/2017 12:00:00 AM +0000,40.7345977946
-73.9870887944,POINT (-73.98708879442817 40.77915291971103),07/24/2017 12:00:00 AM +0000,40.7791529197
-73.8998350817,POINT (-73.8998350816871 40.65211697228762),08/02/2017 12:00:00 AM +0000,40.6521169723
-73.9697429652,POINT (-73.9697429651736 40.62182142416377),08/24/2017 12:00:00 AM +0000,40.6218214242
-73.9877192452,POINT (-73.9877192452457 40.625070854875304),08/23/2017 12:00:00 AM +0000,40.6250708549
-73.9789115063,POINT (-73.97891150625914 40.61975529145976),08/23/2017 12:00:00 AM +0000,40.6197552915
-73.9794948585,POINT (-73.9794948584554 40.61919497605339),08/23/2017 12:00:00 AM +0000,40.6191949761
-73.9637503117,POINT (-73.96375031169778 40.689947953186454),08/17/2017 12:00:00 AM +0000,40.6899479532
-73.9618991032,POINT (-73.96189910318809 40.69230069779896),08/17/2017 12:00:00 AM +0000,40.6923006978
-73.9637517559,POINT (-73.9637517558947 40.69208984677491),08/17/2017 12:00:00 AM +0000,40.6920898468
-73.9779858288,POINT (-73.97798582877915 40.6942563287492),08/17/2017 12:00:00 AM +0000,40.6942563287
-73.9675312164,POINT (-73.96753121639175 40.691643798359266),08/17/2017 12:00:00 AM +0000,40.6916437984
-73.782130879,POINT (-73.78213087895776 40.73988946154802),08/25/2017 12:00:00 AM +0000,40.7398894615
-73.780063434,POINT (-73.7800634339731 40.739508837662456),08/25/2017 12:00:00 AM +0000,40.7395088377
-73.9276082343,POINT (-73.9276082342747 40.595051381534645),11/30/2016 12:00:00 AM +0000,40.5950513815
-73.926522682,POINT (-73.92652268195378 40.59410711998592),11/30/2016 12:00:00 AM +0000,40.59410712
-73.9254554198,POINT (-73.925455419751 40.59315677690925),11/30/2016 12:00:00 AM +0000,40.5931567769
-73.9240389411,POINT (-73.92403894110582 40.59187968175635),11/30/2016 12:00:00 AM +0000,40.5918796818
-73.9295646028,POINT (-73.92956460283075 40.59682278043017),11/30/2016 12:00:00 AM +0000,40.5968227804
-73.9233057208,POINT (-73.92330572084452 40.59121990356418),11/30/2016 12:00:00 AM +0000,40.5912199036
-73.9222918792,POINT (-73.9222918791727 40.59031619553066),11/30/2016 12:00:00 AM +0000,40.5903161955
-73.9197297703,POINT (-73.91972977030571 40.587981550479995),11/30/2016 12:00:00 AM +0000,40.5879815505
-73.9192491525,POINT (-73.91924915247564 40.871011299490945),08/30/2017 12:00:00 AM +0000,40.8710112995
-73.9050878605,POINT (-73.90508786054593 40.9070143548911),09/29/2017 12:00:00 AM +0000,40.9070143549
-74.0778612583,POINT (-74.07786125833121 40.63097444824656),09/09/2017 12:00:00 AM +0000,40.6309744482
-73.9807126325,POINT (-73.98071263246355 40.71220837527004),07/05/2017 12:00:00 AM +0000,40.7122083753
-73.9832926326,POINT (-73.98329263258096 40.711343504883175),07/05/2017 12:00:00 AM +0000,40.7113435049
-73.9839136646,POINT (-73.9839136646266 40.71130335851925),07/05/2017 12:00:00 AM +0000,40.7113033585
-73.8978105669,POINT (-73.89781056689763 40.81957775429139),10/16/2015 12:00:00 AM +0000,40.8195777543
-73.9991085084,POINT (-73.99910850838447 40.731626836074554),05/29/2015 12:00:00 AM +0000,40.7316268361
-73.8229704661,POINT (-73.82297046612088 40.796213419081674),08/19/2016 12:00:00 AM +0000,40.7962134191
-73.8886145999,POINT (-73.88861459989077 40.69954146923772),10/31/2017 12:00:00 AM +0000,40.6995414692
-73.9806528768,POINT (-73.98065287680215 40.65638087385929),04/28/2017 12:00:00 AM +0000,40.6563808739
-73.7660997329,POINT (-73.76609973288858 40.74451005225482),08/03/2017 12:00:00 AM +0000,40.7445100523
-73.7163619885,POINT (-73.71636198851002 40.750007550874656),05/19/2017 12:00:00 AM +0000,40.7500075509
-73.7148583374,POINT (-73.71485833737124 40.74903275452358),05/19/2017 12:00:00 AM +0000,40.7490327545
-73.8653363455,POINT (-73.86533634553864 40.88686958609202),11/16/2017 12:00:00 AM +0000,40.8868695861
-74.0787086232,POINT (-74.07870862315278 40.6340659495058),09/10/2017 12:00:00 AM +0000,40.6340659495
-74.0779430319,POINT (-74.07794303187048 40.637782302653925),09/10/2017 12:00:00 AM +0000,40.6377823027
-74.0779822368,POINT (-74.07798223684372 40.63786437549852),09/10/2017 12:00:00 AM +0000,40.6378643755
-74.0066499828,POINT (-74.00664998280897 40.67280297496132),12/01/2017 12:00:00 AM +0000,40.672802975
-74.0050790062,POINT (-74.00507900617973 40.67236383777929),12/01/2017 12:00:00 AM +0000,40.6723638378
-73.9133347475,POINT (-73.91333474749543 40.79999699204005),12/20/2017 12:00:00 AM +0000,40.799996992
-73.8639153717,POINT (-73.86391537165483 40.889736226766104),11/16/2017 12:00:00 AM +0000,40.8897362268
-73.8689076531,POINT (-73.86890765312084 40.87871890332932),04/13/2018 12:00:00 AM +0000,40.8787189033
-73.9582917708,POINT (-73.95829177084566 40.669778943530716),06/01/2017 12:00:00 AM +0000,40.6697789435
-74.0027297973,POINT (-74.00272979728726 40.70719859808406),04/24/2018 12:00:00 AM +0000,40.7071985981
-73.9201272971,POINT (-73.92012729711747 40.77948897170133),12/07/2017 12:00:00 AM +0000,40.7794889717
-73.9219900149,POINT (-73.92199001485986 40.777964109421156),12/07/2017 12:00:00 AM +0000,40.7779641094
-74.0150480732,POINT (-74.01504807322506 40.65436263860994),05/28/2018 12:00:00 AM +0000,40.6543626386
-73.9343351565,POINT (-73.93433515647675 40.75501548366785),06/14/2018 12:00:00 AM +0000,40.7550154837
-73.9327911914,POINT (-73.93279119136005 40.75419456575144),06/14/2018 12:00:00 AM +0000,40.7541945658
-73.9344702508,POINT (-73.93447025076692 40.75352140557777),06/14/2018 12:00:00 AM +0000,40.7535214056
-73.9031558818,POINT (-73.90315588178478 40.8865113996436),06/07/2018 12:00:00 AM +0000,40.8865113996
-73.9080186311,POINT (-73.90801863107578 40.882394921553484),06/07/2018 12:00:00 AM +0000,40.8823949216
-74.1360932462,POINT (-74.13609324618949 40.60243019643962),06/08/2018 12:00:00 AM +0000,40.6024301964
-73.7805319476,POINT (-73.78053194757982 40.77986119385073),05/10/2018 12:00:00 AM +0000,40.7798611939
-73.9021775487,POINT (-73.90217754872424 40.643783574162846),07/03/2018 12:00:00 AM +0000,40.6437835742
-74.0019988376,POINT (-74.00199883757938 40.733735698833904),07/06/2018 12:00:00 AM +0000,40.7337356988
-74.0012047477,POINT (-74.00120474769206 40.73384310986971),07/06/2018 12:00:00 AM +0000,40.7338431099
-73.9949214089,POINT (-73.99492140892134 40.75529240648602),06/20/2018 12:00:00 AM +0000,40.7552924065
-73.9352276453,POINT (-73.93522764527613 40.76952287502019),06/27/2018 12:00:00 AM +0000,40.769522875
-73.9799935261,POINT (-73.97999352614326 40.65203268622639),08/29/2018 12:00:00 AM +0000,40.6520326862
-73.9012355032,POINT (-73.90123550320708 40.87811603908956),08/29/2018 12:00:00 AM +0000,40.8781160391
-73.9911658261,POINT (-73.99116582614523 40.77273119771586),08/15/2018 12:00:00 AM +0000,40.7727311977
-73.9103981463,POINT (-73.91039814631968 40.843465390512215),11/30/1899 12:00:00 AM +0000,40.8434653905
-73.9081195516,POINT (-73.90811955158867 40.88531390260947),06/06/2018 12:00:00 AM +0000,40.8853139026
-73.9090333165,POINT (-73.90903331645319 40.88548333252484),06/06/2018 12:00:00 AM +0000,40.8854833325
-73.9137768432,POINT (-73.91377684323663 40.67568678048052),08/13/2018 12:00:00 AM +0000,40.6756867805
-73.8816088682,POINT (-73.88160886821548 40.63913063114704),08/16/2018 12:00:00 AM +0000,40.6391306311
-73.8436792273,POINT (-73.84367922726676 40.71976192410056),09/19/2018 12:00:00 AM +0000,40.7197619241
-73.8426236549,POINT (-73.84262365488524 40.71934889748841),09/19/2018 12:00:00 AM +0000,40.7193488975
-73.8415884867,POINT (-73.84158848670405 40.718890694371794),09/19/2018 12:00:00 AM +0000,40.7188906944
-73.8469643649,POINT (-73.84696436488746 40.72095893846613),09/19/2018 12:00:00 AM +0000,40.7209589385
-73.9247162117,POINT (-73.92471621171737 40.778554142703406),03/01/2015 12:00:00 AM +0000,40.7785541427
-73.9232982909,POINT (-73.92329829094544 40.77953159543905),03/01/2015 12:00:00 AM +0000,40.7795315954
-73.9219440983,POINT (-73.92194409831556 40.78063621390485),03/01/2015 12:00:00 AM +0000,40.7806362139
-73.9215629728,POINT (-73.92156297275244 40.781007236687145),03/01/2015 12:00:00 AM +0000,40.7810072367
-73.8617143809,POINT (-73.86171438089131 40.74502896022879),09/20/2018 12:00:00 AM +0000,40.7450289602
-74.0091193624,POINT (-74.00911936237735 40.63246392895486),07/27/2018 12:00:00 AM +0000,40.632463929
-73.9115037832,POINT (-73.91150378321774 40.65738220578409),10/16/2018 12:00:00 AM +0000,40.6573822058
-73.9557389256,POINT (-73.9557389255677 40.699927314236646),10/05/2018 12:00:00 AM +0000,40.6999273142
-73.860440173,POINT (-73.86044017301046 40.73406636697869),11/07/2018 12:00:00 AM +0000,40.734066367
-73.9074418584,POINT (-73.90744185840474 40.664377730787415),10/10/2018 12:00:00 AM +0000,40.6643777308
-73.8612826863,POINT (-73.86128268633324 40.7337158126733),12/11/2018 12:00:00 AM +0000,40.7337158127
